Date,Power_kW,temp_C,HR,solarRad_W/m2,Power-1,Hour,HDH
2018-02-14 12:00:00,193.97752649999998,13.414166666666665,64.53666666666668,466.5250000000001,187.1598895,12,0.0
2018-02-14 13:00:00,193.4046195,13.51916666666667,65.2275,474.1916666666666,193.97752649999998,13,0.0
2018-02-14 14:00:00,196.0956655,13.404166666666663,68.46083333333333,353.25,193.4046195,14,0.0
2018-02-14 15:00:00,192.64555049999998,13.314166666666667,71.07333333333334,171.20000000000002,196.0956655,15,0.0
2018-02-14 16:00:00,179.898479,13.229999999999999,72.85833333333333,143.04166666666666,192.64555049999998,16,0.0
2018-02-14 17:00:00,135.42651850000001,12.9375,75.02499999999999,38.68833333333334,179.898479,17,0.0
2018-02-14 18:00:00,127.9529445,12.781666666666666,77.67500000000001,2.8772500000000005,135.42651850000001,18,0.0
2018-02-14 19:00:00,95.2290735,12.674166666666666,78.81666666666668,1.14225,127.9529445,19,0.0
2018-02-14 20:00:00,76.95220400000001,12.485833333333332,80.58333333333333,1.1676666666666666,95.2290735,20,0.0
2018-02-14 21:00:00,55.643865500000004,12.292499999999999,81.98333333333333,1.3085833333333332,76.95220400000001,21,0.0
2018-02-14 22:00:00,42.898105,12.265833333333333,82.91666666666666,1.0085,55.643865500000004,22,0.0
2018-02-14 23:00:00,40.394969,12.289166666666667,82.98333333333333,1.1284999999999996,42.898105,23,0.0
2018-02-15 00:00:00,40.6333525,12.305,82.66666666666667,1.0592500000000002,40.394969,0,0.0
2018-02-15 01:00:00,40.442602,12.280833333333335,82.925,1.1309166666666666,40.6333525,1,0.0
2018-02-15 02:00:00,40.179965,12.303333333333333,83.08333333333333,1.297,40.442602,2,0.0
2018-02-15 03:00:00,39.8235915,12.2525,84.70833333333333,0.9439166666666668,40.179965,3,0.0
2018-02-15 04:00:00,39.7676555,12.227500000000001,85.79166666666667,1.1008333333333333,39.8235915,4,0.0
2018-02-15 05:00:00,39.1047265,12.221666666666666,86.29166666666667,1.184,39.7676555,5,0.0
2018-02-15 06:00:00,46.188278000000004,12.0575,87.3,1.0271666666666668,39.1047265,6,0.0
2018-02-15 07:00:00,83.1648145,12.087499999999999,87.38333333333333,4.465083333333333,46.188278000000004,7,0.0
2018-02-15 08:00:00,105.1358635,12.169166666666667,86.63333333333333,49.604166666666664,83.1648145,8,0.0
2018-02-15 09:00:00,122.94055449999999,12.595833333333333,84.45833333333333,120.625,105.1358635,9,0.0
2018-02-15 10:00:00,217.3579005,13.126666666666667,80.175,175.10833333333332,122.94055449999999,10,0.0
2018-02-15 11:00:00,192.15392549999999,13.587499999999999,75.725,293.5166666666667,217.3579005,11,0.0
2018-02-15 12:00:00,193.94868449999998,13.433333333333332,76.55,232.25,192.15392549999999,12,0.0
2018-02-15 13:00:00,202.8241545,13.977500000000001,71.71499999999999,362.5833333333334,193.94868449999998,13,0.0
2018-02-15 14:00:00,205.2586815,14.453333333333333,69.04666666666667,428.78333333333336,202.8241545,14,0.0
2018-02-15 15:00:00,203.275357,13.896666666666668,72.79166666666666,210.59166666666667,205.2586815,15,0.0
2018-02-15 16:00:00,182.999868,13.849166666666667,71.08083333333335,113.68333333333332,203.275357,16,0.0
2018-02-15 17:00:00,136.4932355,13.737500000000002,72.75,44.22916666666666,182.999868,17,0.0
2018-02-15 18:00:00,129.73656,13.420833333333333,74.03333333333333,3.703,136.4932355,18,0.0
2018-02-15 19:00:00,93.4456765,13.155,75.625,2.0696666666666665,129.73656,19,0.0
2018-02-15 20:00:00,73.436539,12.655000000000001,78.175,2.1159166666666667,93.4456765,20,0.0
2018-02-15 21:00:00,55.356101,12.045,81.73333333333333,2.183333333333333,73.436539,21,0.0
2018-02-15 22:00:00,48.727685,11.902500000000002,83.10833333333333,1.975583333333333,55.356101,22,0.0
2018-02-15 23:00:00,46.1015335,11.855833333333331,79.08333333333333,2.0516666666666663,48.727685,23,0.0
2018-02-16 00:00:00,45.849166,11.51,78.4,2.287166666666667,46.1015335,0,0.0
2018-02-16 01:00:00,42.861397,11.233333333333334,79.89999999999999,2.1255,45.849166,1,0.0
2018-02-16 02:00:00,42.626728,10.698333333333332,84.0,0.9855833333333335,42.861397,2,0.0
2018-02-16 03:00:00,41.6668575,10.6325,86.01666666666667,1.49575,42.626728,3,0.0
2018-02-16 04:00:00,41.4527275,10.4,87.21666666666668,1.2994166666666667,41.6668575,4,0.0
2018-02-16 05:00:00,40.6919105,10.029166666666667,88.21666666666665,1.138,41.4527275,5,0.0
